if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 > 4.612 and age <= 63.5 and x1 <= 4.549 and age <= 45.0 then class: 0 | based on 507 samples | coverage 20.25% | error 0.0% | relevance 20.25
if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 > 12.963 then class: 0 | based on 7 samples | coverage 0.28% | error 0.0% | relevance 0.28

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 <= -2.968 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 2.354 and x2 > 11.129 and age <= 68.5 and x1 > 3.953 and age <= 45.0 and x1 <= 4.613 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 > 4.534 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 <= 4.534 and x2 > 3.909 and x1 > -2.74 and x1 > -2.318 and x1 <= -2.051 and age <= 45.0 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 > 4.612 and age <= 63.5 and x1 > 4.549 and age > 45.0 and x1 <= 4.784 then class: 1 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 <= 3.107 and x2 <= 3.05 and x1 <= -2.608 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 > 4.556 and x1 > 8.948 and age <= 44.5 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 <= 3.107 and x2 > 3.05 and x1 <= 3.753 and age <= 45.0 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 > 4.556 and x1 > 8.948 and age > 44.5 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 <= 3.107 and x2 > 3.05 and x1 <= 3.753 and age > 45.0 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 <= 4.534 and x2 > 3.909 and x1 <= -2.74 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 <= 4.534 and x2 <= 3.909 and x2 > 3.893 and x1 > 11.296 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 <= 4.534 and x2 > 3.909 and x1 > -2.74 and x1 <= -2.318 and age <= 42.5 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 2.354 and x2 <= 11.129 and x2 <= 11.105 and x1 <= 12.963 and x1 > -2.968 and x2 > 3.107 and x2 <= 4.612 and x2 <= 4.556 and x2 <= 4.534 and x2 > 3.909 and x1 > -2.74 and x1 > -2.318 and x1 <= -2.051 and age > 45.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

