if x2 > 3.23 and x1 > -2.184 and age > 60.5 and x1 > 5.087 then class: 0 | based on 755 samples | coverage 29.83% | error 0.0% | relevance 29.83
if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 > -1.309 and x1 <= 0.146 and age <= 49.0 then class: 0 | based on 12 samples | coverage 0.47% | error 0.0% | relevance 0.47

if x2 <= 3.23 and x2 <= 2.855 and x2 > -2.627 and x2 <= -2.609 then class: 1 | based on 9 samples | coverage 0.36% | error 0.0% | relevance 0.36

if x2 <= 3.23 and x2 > 2.855 and x1 <= 6.271 and age > 23.5 and age <= 45.0 and x1 > 4.485 then class: 1 | based on 8 samples | coverage 0.32% | error 0.0% | relevance 0.32

if x2 <= 3.23 and x2 > 2.855 and x1 <= 6.271 and age <= 23.5 then class: 0 | based on 7 samples | coverage 0.28% | error 0.0% | relevance 0.28

if x2 <= 3.23 and x2 > 2.855 and x1 <= 6.271 and age > 23.5 and age <= 45.0 and x1 <= 4.485 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 <= -1.867 then class: 0 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 > -1.309 and x1 > 0.146 and age <= 61.5 and x1 > 4.733 and age > 45.0 and x1 > 5.751 then class: 0 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 > -1.309 and x1 > 0.146 and age <= 61.5 and x1 <= 4.733 and age > 45.0 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 <= -1.309 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 3.23 and x2 > 2.855 and x1 <= 6.271 and age > 23.5 and age > 45.0 and x1 > 5.007 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 3.23 and x1 > -2.184 and age <= 60.5 and x1 <= 5.139 and age > 45.0 and x1 > 5.078 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 > -1.309 and x1 > 0.146 and age <= 61.5 and x1 > 4.733 and age > 45.0 and x1 <= 5.751 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 3.23 and x2 <= 2.855 and x2 <= -2.627 and x1 > -1.867 and x1 > -1.309 and x1 <= 0.146 and age > 49.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 3.23 and x1 > -2.184 and age <= 60.5 and x1 <= 5.139 and age <= 45.0 and x1 > 5.113 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

