if x2 <= 6.537 and age <= 64.5 and x1 <= 5.073 and age <= 45.0 then class: 0 | based on 777 samples | coverage 31.18% | error 0.0% | relevance 31.18
if x2 > 6.537 and x2 <= 8.649 and x1 > 11.975 and age <= 45.0 then class: 1 | based on 11 samples | coverage 0.44% | error 0.0% | relevance 0.44

if x2 > 6.537 and x2 > 8.649 and x1 <= 11.499 and age <= 64.5 and x1 <= 5.246 and age > 45.0 and x1 > 4.55 then class: 0 | based on 11 samples | coverage 0.44% | error 0.0% | relevance 0.44

if x2 <= 6.537 and age > 64.5 and x1 <= 5.566 and x1 > 5.054 and x2 > 5.44 then class: 0 | based on 8 samples | coverage 0.32% | error 0.0% | relevance 0.32

if x2 > 6.537 and x2 > 8.649 and x1 <= 11.499 and age <= 64.5 and x1 <= 5.246 and age <= 45.0 and x1 > 5.052 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 6.537 and age <= 64.5 and x1 > 5.073 and age > 45.0 and x1 <= 5.585 and x2 > 5.199 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 6.537 and age <= 64.5 and x1 <= 5.073 and age > 45.0 and x1 > 4.678 and x2 > 5.47 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 6.537 and age > 64.5 and x1 <= 5.566 and x1 <= 5.054 and x1 > 4.564 and x1 <= 4.582 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

