if x2 <= 5.599 and x2 <= 5.139 and age > 29.5 and x1 <= 5.056 and age > 45.0 then class: 1 | based on 682 samples | coverage 28.31% | error 0.0% | relevance 28.31
if x2 <= 5.599 and x2 <= 5.139 and age > 29.5 and x1 > 5.056 and age <= 45.0 and x1 <= 5.347 then class: 0 | based on 4 samples | coverage 0.15% | error 0.0% | relevance 0.15

if x2 > 5.599 and x1 <= -2.837 and age <= 44.5 then class: 0 | based on 4 samples | coverage 0.15% | error 0.0% | relevance 0.15

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 > 6.241 and age > 24.0 and age > 25.5 and x1 <= 3.638 and age > 44.5 then class: 1 | based on 4 samples | coverage 0.17% | error 0.0% | relevance 0.17

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 > 6.301 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 > 6.312 and x2 <= 6.376 and x1 <= 1.547 and age <= 44.0 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.599 and x2 > 5.139 and age <= 67.5 and x1 <= 7.663 and age > 28.5 and x1 > 5.788 and age <= 45.5 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 5.599 and x1 > -2.837 and x2 <= 6.222 and age > 68.5 and x1 > 4.85 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 > 6.312 and x2 > 6.376 and x2 <= 6.434 and x2 <= 6.396 and x2 > 6.38 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 > 6.241 and age <= 24.0 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.599 and x2 > 5.139 and age <= 67.5 and x1 <= 7.663 and age > 28.5 and x1 <= 5.788 and age <= 44.5 and x1 <= 4.433 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 > 6.241 and age > 24.0 and age > 25.5 and x1 <= 3.638 and age <= 44.5 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 > 6.312 and x2 > 6.376 and x2 <= 6.434 and x2 > 6.396 and x1 > 7.095 and age <= 44.0 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 > 6.241 and age > 24.0 and age <= 25.5 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 > 6.312 and x2 > 6.376 and x2 <= 6.434 and x2 <= 6.396 and x2 <= 6.38 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 <= 6.241 and age > 65.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 <= 6.241 and age <= 65.0 and x2 <= 6.223 and age <= 43.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.599 and x2 > 5.139 and age <= 67.5 and x1 <= 7.663 and age > 28.5 and x1 <= 5.788 and age <= 44.5 and x1 > 4.433 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.599 and x2 <= 5.139 and age > 29.5 and x1 > 5.056 and age > 45.0 and x1 <= 5.078 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 > 6.312 and x2 > 6.376 and x2 <= 6.434 and x2 > 6.396 and x1 > 7.095 and age > 44.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > 5.599 and x1 > -2.837 and x2 > 6.222 and x2 <= 6.312 and age <= 67.5 and x2 <= 6.301 and x2 <= 6.241 and age <= 65.0 and x2 <= 6.223 and age > 43.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

