if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 <= 10.431 and x1 <= 7.13 and age > 45.0 and x1 <= 5.128 then class: 1 | based on 1,068 samples | coverage 42.84% | error 0.0% | relevance 42.84
if x2 <= 10.865 and x2 > -2.963 and x2 > 10.598 and age <= 68.5 and x1 <= 3.762 and age <= 45.0 then class: 0 | based on 18 samples | coverage 0.72% | error 0.0% | relevance 0.72

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 <= 10.486 then class: 0 | based on 16 samples | coverage 0.64% | error 0.0% | relevance 0.64

if x2 > 10.865 and x2 <= 11.346 and x1 <= 3.743 and age > 45.5 then class: 1 | based on 13 samples | coverage 0.52% | error 0.0% | relevance 0.52

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 > 10.501 and age <= 28.5 then class: 0 | based on 11 samples | coverage 0.44% | error 0.0% | relevance 0.44

if x2 <= 10.865 and x2 <= -2.963 and age > 26.0 then class: 0 | based on 8 samples | coverage 0.32% | error 0.0% | relevance 0.32

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 > 10.501 and age > 28.5 and x1 > 5.174 then class: 0 | based on 7 samples | coverage 0.28% | error 0.0% | relevance 0.28

if x2 <= 10.865 and x2 > -2.963 and x2 > 10.598 and age <= 68.5 and x1 > 3.762 and age > 45.0 and x1 <= 5.442 then class: 1 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 > 10.501 and age > 28.5 and x1 <= 5.174 and age > 45.0 then class: 1 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 > 10.865 and x2 <= 11.346 and x1 > 3.743 and age > 45.0 and x1 <= 4.946 then class: 1 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 10.865 and x2 > -2.963 and x2 > 10.598 and age <= 68.5 and x1 > 3.762 and age > 45.0 and x1 > 5.442 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age > 68.5 then class: 1 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 > 11.726 and age <= 48.0 then class: 1 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 > 10.865 and x2 <= 11.346 and x1 > 3.743 and age <= 45.0 and x1 <= 5.038 then class: 0 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 10.865 and x2 > -2.963 and x2 > 10.598 and age > 68.5 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 <= 10.501 and x2 > 10.497 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 > 10.501 and age > 28.5 and x1 <= 5.174 and age <= 45.0 and x1 <= 4.345 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 10.865 and x2 > -2.963 and x2 > 10.598 and age <= 68.5 and x1 > 3.762 and age <= 45.0 and x1 <= 4.963 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 <= 10.501 and x2 <= 10.497 and x1 > 7.342 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 <= 10.501 and x2 <= 10.497 and x1 <= 7.342 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 <= 11.726 and x2 > 10.501 and age > 28.5 and x1 <= 5.174 and age <= 45.0 and x1 > 4.345 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 10.865 and x2 > -2.963 and x2 <= 10.598 and x2 > 10.431 and age <= 68.5 and x2 > 10.486 and x1 > 11.726 and age > 48.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 10.865 and x2 <= -2.963 and age <= 26.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

